face,x_over_c,y_over_c,z,Cp
189,0.03169645,0.0291108,0.0,-0.27862365
190,0.0329281,0.029611850000000002,0.0,-0.28650936
191,0.0341811,0.0301094,0.0,-0.29397594
192,0.03545525,0.0306034,0.0,-0.30103838
193,0.0367504,0.031093799999999998,0.0,-0.30779341
194,0.0380664,0.0315806,0.0,-0.31421449
195,0.039403099999999996,0.0320637,0.0,-0.3203114
196,0.04076035,0.032543100000000005,0.0,-0.32608729
197,0.04213789999999999,0.03301875,0.0,-0.33160044
198,0.0435356,0.03349065,0.0,-0.33688962
199,0.0449533,0.0339588,0.0,-0.34196421
200,0.04639075000000001,0.03442305,0.0,-0.34682646
201,0.04784785,0.034883449999999996,0.0,-0.35149741
202,0.049324400000000004,0.035339999999999996,0.0,-0.35601376
203,0.050820149999999994,0.0357926,0.0,-0.36033069
204,0.052334950000000005,0.03624125,0.0,-0.36435713
205,0.053868650000000004,0.036685949999999995,0.0,-0.36797253
206,0.055421,0.03712665,0.0,-0.37089706
207,0.0569918,0.037563299999999994,0.0,-0.37301975
208,0.058580900000000005,0.03799585,0.0,-0.37423192
209,0.06018804999999999,0.038424349999999996,0.0,-0.37485766
210,0.061813,0.03884875,0.0,-0.37547945
211,0.0634556,0.039269,0.0,-0.37663683
212,0.0651157,0.0396851,0.0,-0.37829063
213,0.06679299999999999,0.04009695,0.0,-0.38024298
214,0.0684873,0.0405046,0.0,-0.38223364
215,0.0701984,0.04090805,0.0,-0.38426324
216,0.07192604999999999,0.041307250000000004,0.0,-0.38619748
217,0.0736701,0.0417022,0.0,-0.38809284
218,0.0754303,0.0420928,0.0,-0.38981707
219,0.07720635,0.04247905,0.0,-0.39140828
220,0.07899809999999999,0.042860999999999996,0.0,-0.39291709
221,0.08080535,0.0432386,0.0,-0.39430389
222,0.08262775,0.04361185,0.0,-0.3956733
223,0.08446514999999999,0.0439807,0.0,-0.39693547
224,0.08631734999999999,0.04434515,0.0,-0.3980759
225,0.08818405000000001,0.0447052,0.0,-0.39918936
226,0.090065,0.045060800000000005,0.0,-0.40016164
227,0.09196,0.04541194999999999,0.0,-0.40109292
228,0.0938688,0.04575865,0.0,-0.40191369
229,0.09579114999999999,0.0461009,0.0,-0.40269444
230,0.09772685,0.04643865,0.0,-0.40340475
231,0.0996755,0.0467719,0.0,-0.4040182
232,0.101637,0.047100699999999995,0.0,-0.404603
233,0.10361100000000001,0.047425,0.0,-0.40506435
234,0.1055975,0.04774475,0.0,-0.40551971
235,0.107596,0.048060000000000005,0.0,-0.40586812
236,0.10960600000000001,0.048370750000000004,0.0,-0.40619993
237,0.111628,0.048677,0.0,-0.40642888
238,0.1136615,0.04897875,0.0,-0.4066705
239,0.11570550000000002,0.04927595,0.0,-0.40678546
240,0.11776,0.049568600000000004,0.0,-0.40691855
241,0.1198255,0.049856750000000005,0.0,-0.4069455
242,0.1219015,0.0501404,0.0,-0.40692486
243,0.123987,0.0504195,0.0,-0.40689874
244,0.126082,0.050694100000000006,0.0,-0.40678093
245,0.128187,0.05096425,0.0,-0.4067022
246,0.130301,0.05122985,0.0,-0.40651796
247,0.1324235,0.051490949999999994,0.0,-0.40627993
248,0.13455499999999998,0.05174755,0.0,-0.4060538
249,0.136695,0.0519997,0.0,-0.40575656
250,0.138843,0.0522474,0.0,-0.40542164
251,0.1409985,0.0524906,0.0,-0.40506388
252,0.1431615,0.05272935,0.0,-0.40467765
253,0.14533200000000002,0.0529637,0.0,-0.40425722
254,0.14750950000000002,0.05319365,0.0,-0.40380108
255,0.149694,0.05341915,0.0,-0.40331791
256,0.1518845,0.05364025,0.0,-0.40277676
257,0.15408100000000002,0.053857,0.0,-0.40224103
258,0.156284,0.0540694,0.0,-0.40165842
259,0.158492,0.054277450000000005,0.0,-0.40109183
260,0.1607055,0.0544812,0.0,-0.4004099
261,0.1629245,0.05468065,0.0,-0.39980814
262,0.1651475,0.0548758,0.0,-0.39908298
263,0.167375,0.055066699999999996,0.0,-0.39842377
264,0.169607,0.055253399999999994,0.0,-0.39765281
265,0.1718425,0.055435899999999996,0.0,-0.39697009
266,0.1740815,0.0556142,0.0,-0.39621258
267,0.1763245,0.05578835,0.0,-0.39542738
268,0.1785705,0.055958350000000004,0.0,-0.39461097
269,0.180819,0.05612425,0.0,-0.39379297
