# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.1729610000  0.0555261000  -1.6989066667
0.1752020000  0.0557023000  -1.6835911111
0.1774470000  0.0558744000  -1.6684977778
0.1796940000  0.0560423000  -1.6536444444
0.1819440000  0.0562062000  -1.6390044444
0.1841960000  0.0563660000  -1.6245955556
0.1864500000  0.0565217000  -1.6103911111
0.1887050000  0.0566735000  -1.5964000000
0.1909630000  0.0568213000  -1.5826133333
0.1932210000  0.0569652000  -1.5690222222
0.1954800000  0.0571051000  -1.5555911111
0.1977400000  0.0572412000  -1.5423822222
0.2000000000  0.0573734000  -1.5287200000
0.2026760000  0.0575250000  -1.5140177778
0.2053510000  0.0576714000  -1.4991377778
0.2080270000  0.0578126000  -1.4844266667
0.2107020000  0.0579488000  -1.4699555556
0.2133780000  0.0580799000  -1.4557244444
0.2160540000  0.0582061000  -1.4416711111
0.2187290000  0.0583274000  -1.4278666667
0.2214050000  0.0584439000  -1.4142400000
0.2240800000  0.0585557000  -1.4008088889
0.2267560000  0.0586629000  -1.3875822222
0.2294310000  0.0587654000  -1.3745333333
0.2321070000  0.0588635000  -1.3616888889
0.2347830000  0.0589571000  -1.3489955556
0.2374580000  0.0590463000  -1.3365066667
0.2401340000  0.0591311000  -1.3241600000
0.2428090000  0.0592117000  -1.3119911111
0.2454850000  0.0592881000  -1.3000088889
0.2481610000  0.0593603000  -1.2881511111
0.2508360000  0.0594283000  -1.2764444444
0.2535120000  0.0594924000  -1.2648888889
0.2561870000  0.0595524000  -1.2534755556
0.2588630000  0.0596085000  -1.2421955556
0.2615380000  0.0596606000  -1.2310488889
0.2642140000  0.0597089000  -1.2200355556
0.2668900000  0.0597534000  -1.2091555556
0.2695650000  0.0597942000  -1.1984266667
0.2722410000  0.0598312000  -1.1878044444
0.2749160000  0.0598646000  -1.1773155556
0.2775920000  0.0598944000  -1.1669422222
0.2802680000  0.0599205000  -1.1566755556
0.2829430000  0.0599432000  -1.1465244444
0.2856190000  0.0599623000  -1.1364800000
0.2882940000  0.0599780000  -1.1265422222
0.2909700000  0.0599903000  -1.1167111111
0.2936450000  0.0599992000  -1.1069777778
0.2963210000  0.0600048000  -1.0973511111
0.2989970000  0.0600070000  -1.0878222222
0.3016720000  0.0600061000  -1.0783911111
0.3043480000  0.0600019000  -1.0690666667
0.3070230000  0.0599945000  -1.0598311111
0.3096990000  0.0599840000  -1.0506844444
0.3123750000  0.0599703000  -1.0416266667
0.3150500000  0.0599536000  -1.0326488889
0.3177260000  0.0599338000  -1.0237688889
0.3204010000  0.0599111000  -1.0149777778
0.3230770000  0.0598853000  -1.0062488889
0.3257530000  0.0598566000  -0.9976088889
0.3284280000  0.0598250000  -0.9890488889
0.3311040000  0.0597905000  -0.9805600000
0.3337790000  0.0597531000  -0.9721422222
0.3364550000  0.0597129000  -0.9638044444
0.3391300000  0.0596700000  -0.9555466667
0.3418060000  0.0596242000  -0.9473600000
0.3444820000  0.0595758000  -0.9392533333
0.3471570000  0.0595246000  -0.9312088889
0.3498330000  0.0594707000  -0.9232266667
0.3525080000  0.0594142000  -0.9153155556
0.3551840000  0.0593551000  -0.9074755556
0.3578600000  0.0592934000  -0.8997066667
0.3605350000  0.0592291000  -0.8919911111
0.3632110000  0.0591622000  -0.8843288889
0.3658860000  0.0590928000  -0.8767288889
0.3685620000  0.0590210000  -0.8691937778
0.3712370000  0.0589466000  -0.8617200000
0.3739130000  0.0588699000  -0.8542968889
0.3765890000  0.0587907000  -0.8469440000
0.3792640000  0.0587090000  -0.8396302222
0.3819400000  0.0586251000  -0.8323813333
0.3846150000  0.0585387000  -0.8251866667
0.3872910000  0.0584501000  -0.8180408889
0.3899670000  0.0583591000  -0.8109671111
0.3926420000  0.0582659000  -0.8039297778
0.3953180000  0.0581704000  -0.7969440000
0.3979930000  0.0580726000  -0.7900142222
0.4006690000  0.0579727000  -0.7831306667
0.4033440000  0.0578705000  -0.7762951111
0.4060200000  0.0577661000  -0.7694986667
0.4086960000  0.0576596000  -0.7627653333
0.4113710000  0.0575510000  -0.7560675556
0.4140470000  0.0574402000  -0.7494186667
0.4167220000  0.0573274000  -0.7428142222
0.4193980000  0.0572124000  -0.7362453333
0.4220740000  0.0570954000  -0.7297377778
0.4247490000  0.0569764000  -0.7232560000
0.4274250000  0.0568553000  -0.7168231111
0.4301000000  0.0567322000  -0.7104346667
0.4327760000  0.0566072000  -0.7040817778
0.4354520000  0.0564801000  -0.6977831111
0.4381270000  0.0563512000  -0.6915102222
0.4408030000  0.0562202000  -0.6852817778
0.4434780000  0.0560874000  -0.6790915556
0.4461540000  0.0559527000  -0.6729448889
0.4488290000  0.0558161000  -0.6668355556
0.4515050000  0.0556776000  -0.6607502222
0.4541810000  0.0555372000  -0.6547182222
0.4568560000  0.0553951000  -0.6487128889
0.4595320000  0.0552511000  -0.6427466667
0.4622070000  0.0551053000  -0.6368133333
0.4648830000  0.0549577000  -0.6309093333
0.4675590000  0.0548083000  -0.6250542222
