point_index,x_over_c,y_over_c,surface,Cp
210,0.6917846,-0.006447052,lower,0.26659
211,0.7031409,-0.00607547,lower,0.25979
212,0.7144951,-0.005714204,lower,0.25283
213,0.7258475,-0.005363426,lower,0.24569
214,0.7371985,-0.005023276,lower,0.23834
215,0.7485486,-0.004693862,lower,0.23076
216,0.759898,-0.004375261,lower,0.22294
217,0.7712471,-0.00406752,lower,0.21484
218,0.7825961,-0.003770657,lower,0.20642
219,0.7939454,-0.003484661,lower,0.19767
220,0.8052951,-0.003209492,lower,0.18853
221,0.8166453,-0.002945085,lower,0.17896
222,0.8279957,-0.002691351,lower,0.1689
223,0.8393459,-0.002448177,lower,0.15829
224,0.8506949,-0.002215432,lower,0.14705
225,0.8620405,-0.001992974,lower,0.13508
226,0.8733791,-0.001780651,lower,0.12227
227,0.8847046,-0.001578323,lower,0.10846
228,0.896006,-0.001385877,lower,0.09348
229,0.9072656,-0.001203253,lower,0.07709
230,0.9184539,-0.001030492,lower,0.05899
231,0.9295238,-0.0008677845,lower,0.0388
232,0.9404027,-0.0007155296,lower,0.01602
233,0.9509857,-0.0005743671,lower,-0.00998
234,0.9611341,-0.0004451327,lower,-0.04003
235,0.9706883,-0.0003286738,lower,-0.07509
236,0.979498,-0.0002255317,lower,-0.11705
237,0.9874598,-0.0001356309,lower,-0.16068
238,0.9945412,-5.817614e-05,lower,-0.22356
239,1.0,0.0,lower,-0.08395
