face,surface,x,y,z,wss_x,wss_y,wss_z,tangent_x,tangent_y,tau_t_attached
175,upper,0.01677665,0.0217445,0.0,-2.1742526,-1.2667945,0.0,0.855514113235915,0.517779491728058,2.516023997373782
176,upper,0.0176944,0.02229135,0.0,-2.1337842,-1.2058207,7.4949945e-16,0.8624919597337304,0.5060707652045011,2.4506023206552974
177,upper,0.018635350000000002,0.0228351,0.0,-2.0930972,-1.1491445,-7.2210177e-16,0.8690574897189731,0.49471110717605404,2.3875163462700844
178,upper,0.019599449999999997,0.023375800000000002,0.0,-2.0557879,-1.0896408,3.0318475e-20,0.8752510297275405,0.48366893115113335,2.3263558774510837
179,upper,0.020586649999999998,0.023913399999999998,0.0,-2.0122122,-1.0402581,3.4890003e-20,0.8810999676140643,0.47293006572906204,2.264929435860814
180,upper,0.021596749999999998,0.02444785,0.0,-1.9695213,-0.99322407,-1.2957059e-15,0.8866138621619617,0.4625103884479246,2.205581336834776
181,upper,0.02262965,0.02497915,0.0,-1.9325769,-0.94226638,-6.2506905e-16,0.8918201263881033,0.4523901658625078,2.1497830191475935
182,upper,0.0236852,0.02550725,0.0,-1.8909362,-0.90203094,6.0325953e-16,0.8967435075220148,0.44255065440818625,2.0948791432817817
183,upper,0.02476325,0.0260321,0.0,-1.8545665,-0.85877833,1.3824095e-21,0.9014148767337496,0.4329563719395739,2.0435473830491677
184,upper,0.025863699999999996,0.0265536,0.0,-1.8155192,-0.82193941,6.9269242e-20,0.905830980563437,0.423639274208001,1.9927593522630993
185,upper,0.02698635,0.0270718,0.0,-1.7801932,-0.78004203,0.0,0.9099936340707949,0.41462222076322475,1.9433872381833714
186,upper,0.0281311,0.0275867,0.0,-1.7457152,-0.74539488,-5.2551408e-16,0.9139525339091954,0.4058211006847239,1.8979978011701555
187,upper,0.0292978,0.028098150000000002,0.0,-1.7077945,-0.71811465,5.0795667e-16,0.9177100320316391,0.39725092461627814,1.8525318539914524
188,upper,0.0304863,0.028606200000000002,0.0,-1.6791386,-0.67788862,4.9164948e-16,0.9212651587491915,0.38893509391005987,1.8105865629711557
189,upper,0.03169645,0.0291108,0.0,-1.6440058,-0.6541133,0.0,0.9246510398524186,0.3808155124201756,1.7692281640137593
190,upper,0.0329281,0.029611850000000002,0.0,-1.6111825,-0.6270111,-4.6149352e-16,0.9278650574325706,0.37291612353939907,1.7287824917250272
191,upper,0.0341811,0.0301094,0.0,-1.5805444,-0.60127362,-4.4637624e-16,0.9309092331005305,0.3652505985322711,1.6909589248720036
192,upper,0.03545525,0.0306034,0.0,-1.5542411,-0.57200184,1.0480073e-19,0.9338066375181235,0.35777809285518863,1.6560103829083284
193,upper,0.0367504,0.031093799999999998,0.0,-1.5236251,-0.5538628,-1.0345357e-19,0.9365626024704375,0.3505003447270791,1.621099391176786
194,upper,0.0380664,0.0315806,0.0,-1.4975022,-0.52761743,9.8620794e-20,0.939191377429476,0.3433941708330582,1.5876219038135897
195,upper,0.039403099999999996,0.0320637,0.0,-1.4698588,-0.50872842,-1.1172831e-19,0.9417003841411519,0.3364526512132234,1.5553296222497666
196,upper,0.04076035,0.032543100000000005,0.0,-1.4446586,-0.4876206,-9.2993938e-20,0.9440873994217066,0.32969528697444106,1.5246501943778525
197,upper,0.04213789999999999,0.03301875,0.0,-1.4199798,-0.47004555,9.1845911e-20,0.9463599021173297,0.32311443122286915,1.4956904450736759
198,upper,0.0435356,0.03349065,0.0,-1.3959446,-0.44966877,-7.2534986e-16,0.9485231465619005,0.31670781555924893,1.466499378290008
199,upper,0.0449533,0.0339588,0.0,-1.3726375,-0.43292749,8.5494134e-20,0.9505950304190406,0.31043370973949214,1.4392176728357227
200,upper,0.04639075000000001,0.03442305,0.0,-1.3491068,-0.41833521,-1.3434708e-21,0.9525774442617099,0.3042962580838439,1.4124265466078127
201,upper,0.04784785,0.034883449999999996,0.0,-1.326864,-0.40363059,-1.2876233e-21,0.9544628984924092,0.29832964217702024,1.3868574288316318
202,upper,0.049324400000000004,0.035339999999999996,0.0,-1.3072168,-0.38678059,6.4953067e-16,0.9562663649837154,0.2924972464841873,1.3631797151501739
203,upper,0.050820149999999994,0.0357926,0.0,-1.2860536,-0.37414762,-3.1646378e-16,0.9579938403485371,0.28678877567691113,1.3393327650202917
204,upper,0.052334950000000005,0.03624125,0.0,-1.2664881,-0.35874764,7.5859916e-20,0.9596434850267945,0.2812194546001898,1.3162638696888687
205,upper,0.053868650000000004,0.036685949999999995,0.0,-1.2464303,-0.34760234,7.2840284e-20,0.9612212963372729,0.27577820702095496,1.2939564988415444
206,upper,0.055421,0.03712665,0.0,-1.2281693,-0.33331327,-2.9320905e-16,0.9627341241688309,0.27044963701375957,1.2725449482499154
207,upper,0.0569918,0.037563299999999994,0.0,-1.2093986,-0.32476039,-5.7175505e-16,0.9641876429705091,0.2652210194214896,1.2522204672493542
208,upper,0.058580900000000005,0.03799585,0.0,-1.1919481,-0.31253906,-2.7880814e-16,0.9655762247945193,0.26012026855199855,1.2322144907691894
209,upper,0.06018804999999999,0.038424349999999996,0.0,-1.1758819,-0.29946887,0.0,0.9669014859062016,0.25514998834485453,1.2133714350503544
210,upper,0.061813,0.03884875,0.0,-1.1583106,-0.29224919,-6.446842e-20,0.9681760686229203,0.25027005443293904,1.1945898236415384
211,upper,0.0634556,0.039269,0.0,-1.1421298,-0.28140132,-2.5956321e-16,0.9694007707471146,0.24548349369132808,1.1762608875761993
212,upper,0.0651157,0.0396851,0.0,-1.126672,-0.270915,6.2374763e-20,0.9705788575851712,0.24078347370337558,1.1587558774115498
213,upper,0.06679299999999999,0.04009695,0.0,-1.1106439,-0.26380171,4.9590026e-16,0.9717085532854355,0.23618316508999126,1.1415277001082458
214,upper,0.0684873,0.0405046,0.0,-1.0962743,-0.2536632,-2.4232965e-16,0.9727875148668429,0.23169905247797548,1.1252154749979189
215,upper,0.0701984,0.04090805,0.0,-1.0821961,-0.24554612,-1.1583073e-19,0.9738239737527902,0.22730347147442564,1.1096819919648477
216,upper,0.07192604999999999,0.041307250000000004,0.0,-1.0682782,-0.23780891,5.7059122e-20,0.97482076340115,0.22298986354092284,1.094408746838522
217,upper,0.0736701,0.0417022,0.0,-1.0546455,-0.23061382,0.0,0.9757827628987734,0.21874185614471697,1.0795497949081818
218,upper,0.0754303,0.0420928,0.0,-1.040506,-0.22421145,0.0,0.9767096252028203,0.21456539337965522,1.0643802432507585
219,upper,0.07720635,0.04247905,0.0,-1.0277898,-0.2148504,-4.3498697e-16,0.9775958356304612,0.21049081252629653,1.0499870636510644
220,upper,0.07899809999999999,0.042860999999999996,0.0,-1.0150555,-0.20936155,-2.131863e-16,0.9784474080348472,0.2064961735962419,1.0364107819596942
221,upper,0.08080535,0.0432386,0.0,-1.0027597,-0.20357459,0.0,0.9792664179710615,0.2025766092966466,1.0232083496858912
222,upper,0.08262775,0.04361185,0.0,-0.99171686,-0.19468413,4.9641724e-20,0.9800550106746153,0.19872638489032993,1.010625951163915
223,upper,0.08446514999999999,0.0439807,0.0,-0.97941235,-0.19181034,-4.9270678e-20,0.9808161466926766,0.19493508249396724,0.9980140116013151
224,upper,0.08631734999999999,0.04434515,0.0,-0.96856774,-0.18308442,-1.4247649e-21,0.9815470570561197,0.1912207488335682,0.9857043546486564
225,upper,0.08818405000000001,0.0447052,0.0,-0.95715696,-0.17842643,-1.9308117e-16,0.9822511700336118,0.18757035737983957,0.9736360531069239
226,upper,0.090065,0.045060800000000005,0.0,-0.94598092,-0.17263599,1.8960421e-16,0.9829306342758372,0.18397654253219525,0.9615945982652626
227,upper,0.09196,0.04541194999999999,0.0,-0.93489851,-0.16930534,-9.0762648e-20,0.9835842290423771,0.18044961728724346,0.9501025139989038
228,upper,0.0938688,0.04575865,0.0,-0.92504011,-0.16146727,2.2669677e-20,0.9842127376470077,0.17698951113945288,0.9390142722787111
229,upper,0.09579114999999999,0.0461009,0.0,-0.91484542,-0.15794218,1.7933009e-16,0.9848198994814303,0.17357927752293836,0.9283734640602448
230,upper,0.09772685,0.04643865,0.0,-0.90501379,-0.15322294,-1.7609053e-16,0.9854055048532806,0.1702233562260218,0.9178876937317493
231,upper,0.0996755,0.0467719,0.0,-0.89513303,-0.15018345,-1.726973e-16,0.9859670964915813,0.16693976349558168,0.9076433041867621
232,upper,0.101637,0.047100699999999995,0.0,-0.88625852,-0.14312247,4.1157347e-20,0.9865081794119904,0.16371197864921183,0.8977321418064276
233,upper,0.10361100000000001,0.047425,0.0,-0.87738522,-0.1386495,-4.0976643e-20,0.9870342329247747,0.16050988453862125,0.8882638628385722
234,upper,0.1055975,0.04774475,0.0,-0.8673704,-0.13521603,-1.6428214e-16,0.9875409496660154,0.1573622341374969,0.8778416851001944
235,upper,0.107596,0.048060000000000005,0.0,-0.8578929,-0.13246318,-1.7111375e-20,0.9880243664610499,0.1542979302493743,0.868057883522183
236,upper,0.10960600000000001,0.048370750000000004,0.0,-0.84960034,-0.12837538,-1.586654e-16,0.9884932526394519,0.15126496450360447,0.8592429008290209
237,upper,0.111628,0.048677,0.0,-0.84136368,-0.12316653,0.0,0.9889479760992839,0.14826294401882964,0.850325940841829
238,upper,0.1136615,0.04897875,0.0,-0.83275808,-0.11937738,0.0,0.9893829550820233,0.14533192420512006,0.8412659944007977
239,upper,0.11570550000000002,0.04927595,0.0,-0.82478633,-0.11586041,-1.7750382e-20,0.9898018827153462,0.14245080895928977,0.8328794714027358
240,upper,0.11776,0.049568600000000004,0.0,-0.81657582,-0.11412027,1.8314042e-20,0.9902092935497705,0.13959066934313474,0.8245110907269438
241,upper,0.1198255,0.049856750000000005,0.0,-0.80881127,-0.11045153,0.0,0.9906030348302634,0.1367685175216571,0.8163171906830183
242,upper,0.1219015,0.0501404,0.0,-0.80110321,-0.10564485,0.0,0.9909802550109116,0.13400796311603616,0.808034714498059
243,upper,0.123987,0.0504195,0.0,-0.792788,-0.10491733,-1.7290464e-20,0.9913424689285885,0.13130159670990627,0.799700226208498
244,upper,0.126082,0.050694100000000006,0.0,-0.78620792,-0.098893348,1.4027744e-16,0.9916933062938513,0.1286249830008523,0.7923972868246091
245,upper,0.128187,0.05096425,0.0,-0.77829454,-0.09813326,-1.3840159e-16,0.992033612614483,0.1259734553112595,0.7844565300374854
246,upper,0.130301,0.05122985,0.0,-0.77112622,-0.093845623,1.6738276e-20,0.9923601818421786,0.12337450909389026,0.7768131135707071
247,upper,0.1324235,0.051490949999999994,0.0,-0.76401922,-0.092359782,-1.1474342e-21,0.9926761438221815,0.1208059331586151,0.7695812627664672
248,upper,0.13455499999999998,0.05174755,0.0,-0.75729278,-0.089015357,1.3255768e-16,0.9929817755805145,0.1182674653696815,0.7625055499700713
249,upper,0.136695,0.0519997,0.0,-0.75021254,-0.086538878,-2.6138681e-16,0.9932742436154872,0.1157854782348871,0.755186738594494
250,upper,0.138843,0.0522474,0.0,-0.74381344,-0.083743046,-1.2887009e-16,0.9935568349185826,0.11333497159556852,0.7485119429560395
251,upper,0.1409985,0.0524906,0.0,-0.73739135,-0.080415512,-1.2731354e-16,0.9938301543289045,0.11091268794229872,0.7417608597594754
252,upper,0.1431615,0.05272935,0.0,-0.7305615,-0.079064316,1.5278022e-20,0.9940934051491188,0.10852788507581637,0.734827052206294
253,upper,0.14533200000000002,0.0529637,0.0,-0.72396441,-0.076585284,-1.4894501e-22,0.9943468125659055,0.10618105452491922,0.7280036097108668
254,upper,0.14750950000000002,0.05319365,0.0,-0.71785973,-0.074845996,-2.4497034e-16,0.9945931206901506,0.10384856414908933,0.7217509982953975
255,upper,0.149694,0.05341915,0.0,-0.71151813,-0.071237558,1.4832411e-20,0.9948302051096927,0.10155226733759729,0.7150740627416585
