face_local_index,x_over_c,y_over_c,surface,Cp
161,0.0037709299999999996,0.014806650000000001,upper,-4.7763756
162,0.004242635,0.015496300000000001,upper,-4.7370474
163,0.00473997,0.0161882,upper,-4.6949724
164,0.00526289,0.0168823,upper,-4.6512045
165,0.00581133,0.0175785,upper,-4.6060433
166,0.0063852349999999995,0.01827675,upper,-4.5607518
167,0.006984545,0.018977,upper,-4.515652
168,0.00760918,0.01967915,upper,-4.4714762
169,0.00825908,0.0203831,upper,-4.4248935
170,0.008934174999999999,0.0210888,upper,-4.3656992
171,0.00963438,0.0217962,upper,-4.287009
172,0.010359625,0.0225052,upper,-4.2020829
173,0.0111098,0.0232157,upper,-4.1259056
174,0.011884850000000002,0.02392765,upper,-4.0593419
175,0.01268465,0.024640950000000002,upper,-3.9987676
176,0.013509150000000001,0.02535545,upper,-3.941419
177,0.01435825,0.02607115,upper,-3.8873864
178,0.0152318,0.02678795,upper,-3.8350531
179,0.0161297,0.027505750000000002,upper,-3.7843207
180,0.017051900000000002,0.028224449999999998,upper,-3.7353737
181,0.017998300000000002,0.0289439,upper,-3.687418
182,0.01896865,0.029664100000000002,upper,-3.6401313
183,0.01996295,0.03038495,upper,-3.5947308
184,0.020981100000000003,0.031106299999999996,upper,-3.5500511
185,0.0220229,0.03182805,upper,-3.5063514
186,0.023088249999999998,0.03255015,upper,-3.4633579
187,0.02417705,0.033272499999999997,upper,-3.4219601
188,0.025289150000000003,0.03399495,upper,-3.3815089
189,0.0264244,0.03471745,upper,-3.3413571
190,0.02758265,0.035439849999999995,upper,-3.3028181
191,0.02876375,0.0361621,upper,-3.265104
192,0.0299676,0.0368841,upper,-3.2284714
193,0.031194,0.037605650000000004,upper,-3.1924029
194,0.0324428,0.03832675,upper,-3.1574623
195,0.0337139,0.0390473,upper,-3.1234704
196,0.0350071,0.0397671,upper,-3.0903456
197,0.03632225,0.0404861,upper,-3.0577249
198,0.037659200000000004,0.041204199999999996,upper,-3.0261994
199,0.0390177,0.04192130000000001,upper,-2.9954295
200,0.04039765,0.0426373,upper,-2.965377
201,0.0417989,0.04335205,upper,-2.9361314
202,0.04322115,0.0440655,upper,-2.9077414
203,0.0446643,0.0447775,upper,-2.879917
204,0.046128249999999996,0.045487950000000006,upper,-2.8526934
205,0.0476127,0.04619675000000001,upper,-2.8261903
206,0.04911745000000001,0.04690375,upper,-2.8003208
207,0.05064235,0.04760895,upper,-2.7751405
208,0.0521872,0.04831215,upper,-2.7505484
209,0.0537518,0.049013249999999994,upper,-2.7264599
210,0.055335949999999995,0.0497122,upper,-2.7030081
211,0.05693945,0.05040885,upper,-2.6799315
212,0.0585621,0.05110315,upper,-2.6575774
213,0.06020365,0.05179494999999999,upper,-2.6357049
214,0.06186385,0.0524841,upper,-2.6142884
215,0.0635426,0.05317055,upper,-2.5933846
216,0.06523965000000001,0.053854200000000005,upper,-2.5728464
217,0.0669547,0.0545349,upper,-2.5526979
218,0.06868755,0.0552126,upper,-2.5330749
219,0.07043805,0.05588725,upper,-2.5138743
220,0.07220589999999999,0.0565587,upper,-2.4951396
221,0.07399085,0.057226799999999994,upper,-2.4767002
222,0.07579274999999999,0.05789145,upper,-2.4586673
223,0.0776113,0.058552599999999996,upper,-2.4409237
224,0.07944625,0.0592102,upper,-2.4235599
225,0.08129739999999999,0.0598641,upper,-2.4066443
226,0.0831645,0.06051415,upper,-2.3899296
227,0.08504724999999999,0.0611603,upper,-2.3734429
228,0.08694545000000001,0.061802499999999996,upper,-2.3574329
229,0.08885885,0.06244065,upper,-2.3416266
230,0.09078715,0.06307465000000001,upper,-2.3261859
231,0.09273015000000001,0.0637044,upper,-2.3109236
232,0.09468755000000001,0.06432979999999999,upper,-2.2959968
233,0.0966591,0.0649508,upper,-2.2812706
234,0.09864455,0.0655673,upper,-2.2668228
235,0.10064334999999999,0.0661792,upper,-2.252751
236,0.102656,0.06678645,upper,-2.238722
237,0.104682,0.06738895,upper,-2.2246764
238,0.10672000000000001,0.06798660000000001,upper,-2.2114054
239,0.10877049999999999,0.0685794,upper,-2.1979638
240,0.1108335,0.0691672,upper,-2.1850556
241,0.1129085,0.06974995,upper,-2.171997
242,0.1149955,0.07032759999999999,upper,-2.1594048
243,0.117094,0.07090004999999999,upper,-2.1466153
244,0.11920349999999999,0.07146725,upper,-2.134299
245,0.121324,0.0720291,upper,-2.1220377
246,0.12345500000000001,0.0725856,upper,-2.1098668
247,0.12559599999999999,0.07313665,upper,-2.098222
248,0.127747,0.0736822,upper,-2.0862629
249,0.1299075,0.07422215,upper,-2.0749924
250,0.13207750000000001,0.0747565,upper,-2.0634853
251,0.13425700000000002,0.0752852,upper,-2.0521679
252,0.1364455,0.0758081,upper,-2.041024
253,0.1386425,0.07632525,upper,-2.0298456
254,0.14084750000000001,0.0768366,upper,-2.0190662
255,0.14306049999999998,0.07734205,upper,-2.0082722
256,0.145281,0.07784155000000001,upper,-1.997621
257,0.1475085,0.07833509999999999,upper,-1.9871103
258,0.1497435,0.07882265,upper,-1.9767139
259,0.1519855,0.07930414999999999,upper,-1.9663727
260,0.1542335,0.0797796,upper,-1.9561952
261,0.1564875,0.0802489,upper,-1.9460499
262,0.15874749999999999,0.08071205000000001,upper,-1.9362016
263,0.16101300000000002,0.08116904999999999,upper,-1.9262005
264,0.16328350000000003,0.08161985,upper,-1.9164009
265,0.165559,0.08206440000000001,upper,-1.9068599
266,0.1678395,0.0825027,upper,-1.8971479
267,0.170124,0.0829347,upper,-1.8876314
268,0.17241250000000002,0.0833604,upper,-1.8781447
269,0.174705,0.08377980000000002,upper,-1.8688717
270,0.1770005,0.08419285,upper,-1.8594428
271,0.179299,0.08459955,upper,-1.8503713
272,0.18159999999999998,0.08499989999999999,upper,-1.8412016
273,0.1839035,0.0853939,upper,-1.8321832
274,0.1862095,0.0857815,upper,-1.8232611
275,0.188517,0.08616275,upper,-1.8143106
276,0.1908255,0.08653759999999999,upper,-1.80543
277,0.19313550000000002,0.08690605000000001,upper,-1.7970225
278,0.195659,0.08730080000000001,upper,-1.7868232
279,0.19839600000000002,0.08772055000000001,upper,-1.777223
280,0.20113399999999998,0.08813145,upper,-1.7668529
281,0.2038725,0.0885336,upper,-1.7569351
282,0.20661200000000002,0.08892710000000001,upper,-1.746971
283,0.2093525,0.089312,upper,-1.7370623
284,0.2120935,0.0896884,upper,-1.7272087
285,0.214835,0.09005635000000001,upper,-1.7175716
286,0.217578,0.0904159,upper,-1.7079948
287,0.2203215,0.09076709999999999,upper,-1.6980953
288,0.2230655,0.09111005,upper,-1.6888235
289,0.2258105,0.09144485000000001,upper,-1.6791459
290,0.228556,0.09177145,upper,-1.6698317
291,0.231302,0.09209,upper,-1.6603678
292,0.2340485,0.09240055,upper,-1.6511054
293,0.236796,0.09270310000000001,upper,-1.6418559
294,0.23954399999999998,0.09299779999999999,upper,-1.6325316
295,0.2422925,0.09328465,upper,-1.6234444
296,0.2450415,0.0935637,upper,-1.6142213
297,0.24779099999999998,0.093835,upper,-1.6052018
298,0.250541,0.0940986,upper,-1.5960285
299,0.2532915,0.0943546,upper,-1.5870606
300,0.25604249999999995,0.09460299999999999,upper,-1.5780249
301,0.25879399999999997,0.0948438,upper,-1.5690613
302,0.261546,0.0950771,upper,-1.560058
303,0.26429800000000003,0.095303,upper,-1.5511302
304,0.2670505,0.09552150000000001,upper,-1.5423435
305,0.2698035,0.09573265,upper,-1.5333858
306,0.2725565,0.0959365,upper,-1.5246195
307,0.27531,0.09613305,upper,-1.5158515
308,0.278064,0.09632235,upper,-1.5070244
309,0.280818,0.09650445000000002,upper,-1.4982493
310,0.2835725,0.0966794,upper,-1.4895118
311,0.286327,0.09684725,upper,-1.480706
312,0.2890815,0.09700805,upper,-1.4720451
313,0.291837,0.09716185,upper,-1.4633514
314,0.29459250000000003,0.09730865,upper,-1.4545726
315,0.297348,0.09744844999999999,upper,-1.4459622
316,0.30010349999999997,0.0975813,upper,-1.4372036
317,0.302859,0.0977073,upper,-1.4285782
318,0.30561499999999997,0.0978265,upper,-1.4199017
319,0.3083715,0.09793885,upper,-1.4112876
320,0.311128,0.0980444,upper,-1.402555
321,0.313884,0.0981432,upper,-1.3939874
322,0.3166405,0.0982353,upper,-1.3853051
323,0.319397,0.09832074999999998,upper,-1.3766758
324,0.3221535,0.0983995,upper,-1.3680623
325,0.3249105,0.09847165,upper,-1.3593823
326,0.327667,0.09853724999999999,upper,-1.3507387
327,0.3304235,0.09859625,upper,-1.3420926
328,0.3331805,0.0986487,upper,-1.3334167
329,0.335937,0.09869470000000001,upper,-1.3247196
330,0.3386935,0.09873425,upper,-1.3160563
331,0.34145,0.09876735,upper,-1.3073599
332,0.34420649999999997,0.09879399999999999,upper,-1.2986724
333,0.3469635,0.09881424999999999,upper,-1.289898
334,0.34972,0.0988282,upper,-1.2811961
335,0.352476,0.09883585,upper,-1.2724388
