AoA_deg,time,face,x_over_c,y_over_c,z,Cp
0.0,1770,125,0.0023260800000000003,-0.008408735,0.0,0.62439826
0.0,1770,126,0.00199525,-0.007799165,0.0,0.66772595
0.0,1770,127,0.0016897,-0.00718737,0.0,0.71039997
0.0,1770,128,0.0014094749999999999,-0.006573374999999999,0.0,0.75199085
0.0,1770,129,0.00115461,-0.0059572,0.0,0.79202799
0.0,1770,130,0.0009251400000000001,-0.005338875,0.0,0.83000968
0.0,1770,131,0.0007210960000000001,-0.004718425,0.0,0.86542605
0.0,1770,132,0.000542498,-0.004095875,0.0,0.89776684
0.0,1770,133,0.00038937149999999996,-0.00347125,0.0,0.92654364
0.0,1770,134,0.0002617365,-0.0028445750000000002,0.0,0.95129698
0.0,1770,135,0.000159609,-0.002215875,0.0,0.97161644
0.0,1770,136,8.300205e-05,-0.001585165,0.0,0.98715884
0.0,1770,137,3.192525e-05,-0.0009524705,0.0,0.99766178
0.0,1770,138,6.3852e-06,-0.0003178155,0.0,1.0029051
0.0,1770,139,6.3852e-06,0.0003178155,0.0,1.0028144
0.0,1770,140,3.192525e-05,0.0009524705000000001,0.0,0.9973896
0.0,1770,141,8.300204999999999e-05,0.001585165,0.0,0.98670756
0.0,1770,142,0.000159609,0.002215875,0.0,0.97099093
0.0,1770,143,0.0002617365,0.0028445750000000002,0.0,0.95050196
0.0,1770,144,0.00038937149999999996,0.00347125,0.0,0.92558631
0.0,1770,145,0.000542498,0.004095875,0.0,0.8966544
0.0,1770,146,0.0007210960000000001,0.004718425,0.0,0.86416793
0.0,1770,147,0.0009251400000000001,0.005338875,0.0,0.8286147
0.0,1770,148,0.00115461,0.005957199999999999,0.0,0.79050721
0.0,1770,149,0.001409475,0.006573374999999999,0.0,0.75035388
0.0,1770,150,0.0016896999999999997,0.00718737,0.0,0.7086583
0.0,1770,151,0.00199525,0.007799165,0.0,0.66588965
0.0,1770,152,0.0023260800000000003,0.008408735,0.0,0.62247865
0.0,1770,153,0.0026821550000000003,0.009016045,0.0,0.57883584
0.0,1770,154,0.0030634349999999998,0.009621069999999999,0.0,0.53531991
0.0,1770,155,0.003469865,0.010223804999999999,0.0,0.49223453
0.0,1770,156,0.0039013900000000002,0.010824150000000001,0.0,0.44982075
0.0,1770,157,0.004357955,0.011422149999999999,0.0,0.40838832
0.0,1770,158,0.004839505,0.01201775,0.0,0.36797149
0.0,1770,159,0.00534598,0.012610900000000001,0.0,0.32880557
0.0,1770,160,0.00587731,0.0132016,0.0,0.29102989
0.0,1770,161,0.00643343,0.013789800000000001,0.0,0.25459204
0.0,1770,162,0.007014275,0.0143755,0.0,0.21965314
0.0,1770,163,0.0076197650000000006,0.014958599999999999,0.0,0.18617727
0.0,1770,164,0.008249820000000001,0.01553915,0.0,0.15418015
0.0,1770,165,0.00890436,0.016117100000000002,0.0,0.12363714
0.0,1770,166,0.009583305,0.01669235,0.0,0.094577547
0.0,1770,167,0.010286585,0.0172649,0.0,0.066973319
0.0,1770,168,0.011014050000000001,0.01783475,0.0,0.040732033
0.0,1770,169,0.011765649999999999,0.018401849999999997,0.0,0.015801179
0.0,1770,170,0.01254135,0.0189661,0.0,-0.0078707319
0.0,1770,171,0.01334095,0.01952755,0.0,-0.030130128
0.0,1770,172,0.01416435,0.0200862,0.0,-0.051370678
0.0,1770,173,0.015011549999999999,0.020641899999999998,0.0,-0.071495563
0.0,1770,174,0.01588235,0.021194650000000002,0.0,-0.090423191
0.0,1770,175,0.01677665,0.0217445,0.0,-0.10838471
0.0,1770,176,0.0176944,0.02229135,0.0,-0.1254479
0.0,1770,177,0.018635350000000002,0.0228351,0.0,-0.14148053
0.0,1770,178,0.019599449999999997,0.023375800000000002,0.0,-0.15667924
0.0,1770,179,0.020586649999999998,0.023913399999999998,0.0,-0.17110247
0.0,1770,180,0.021596749999999998,0.02444785,0.0,-0.1846874
0.0,1770,181,0.02262965,0.02497915,0.0,-0.19755364
0.0,1770,182,0.0236852,0.02550725,0.0,-0.20972372
0.0,1770,183,0.02476325,0.0260321,0.0,-0.2213162
0.0,1770,184,0.025863699999999996,0.0265536,0.0,-0.23216097
0.0,1770,185,0.02698635,0.0270718,0.0,-0.24249023
0.0,1770,186,0.0281311,0.0275867,0.0,-0.25228063
0.0,1770,187,0.0292978,0.028098150000000002,0.0,-0.26154464
0.0,1770,188,0.0304863,0.028606200000000002,0.0,-0.27031516
0.0,1770,189,0.03169645,0.0291108,0.0,-0.27862365
0.0,1770,190,0.0329281,0.029611850000000002,0.0,-0.28650936
0.0,1770,191,0.0341811,0.0301094,0.0,-0.29397594
0.0,1770,192,0.03545525,0.0306034,0.0,-0.30103838
0.0,1770,193,0.0367504,0.031093799999999998,0.0,-0.30779341
0.0,1770,194,0.0380664,0.0315806,0.0,-0.31421449
0.0,1770,195,0.039403099999999996,0.0320637,0.0,-0.3203114
0.0,1770,196,0.04076035,0.032543100000000005,0.0,-0.32608729
0.0,1770,197,0.04213789999999999,0.03301875,0.0,-0.33160044
0.0,1770,198,0.0435356,0.03349065,0.0,-0.33688962
0.0,1770,199,0.0449533,0.0339588,0.0,-0.34196421
0.0,1770,200,0.04639075000000001,0.03442305,0.0,-0.34682646
0.0,1770,201,0.04784785,0.034883449999999996,0.0,-0.35149741
0.0,1770,202,0.049324400000000004,0.035339999999999996,0.0,-0.35601376
0.0,1770,203,0.050820149999999994,0.0357926,0.0,-0.36033069
0.0,1770,204,0.052334950000000005,0.03624125,0.0,-0.36435713
0.0,1770,205,0.053868650000000004,0.036685949999999995,0.0,-0.36797253
0.0,1770,206,0.055421,0.03712665,0.0,-0.37089706
0.0,1770,207,0.0569918,0.037563299999999994,0.0,-0.37301975
0.0,1770,208,0.058580900000000005,0.03799585,0.0,-0.37423192
0.0,1770,209,0.06018804999999999,0.038424349999999996,0.0,-0.37485766
0.0,1770,210,0.061813,0.03884875,0.0,-0.37547945
0.0,1770,211,0.0634556,0.039269,0.0,-0.37663683
0.0,1770,212,0.0651157,0.0396851,0.0,-0.37829063
0.0,1770,213,0.06679299999999999,0.04009695,0.0,-0.38024298
0.0,1770,214,0.0684873,0.0405046,0.0,-0.38223364
0.0,1770,215,0.0701984,0.04090805,0.0,-0.38426324
0.0,1770,216,0.07192604999999999,0.041307250000000004,0.0,-0.38619748
0.0,1770,217,0.0736701,0.0417022,0.0,-0.38809284
0.0,1770,218,0.0754303,0.0420928,0.0,-0.38981707
0.0,1770,219,0.07720635,0.04247905,0.0,-0.39140828
0.0,1770,220,0.07899809999999999,0.042860999999999996,0.0,-0.39291709
0.0,1770,221,0.08080535,0.0432386,0.0,-0.39430389
0.0,1770,222,0.08262775,0.04361185,0.0,-0.3956733
0.0,1770,223,0.08446514999999999,0.0439807,0.0,-0.39693547
0.0,1770,224,0.08631734999999999,0.04434515,0.0,-0.3980759
0.0,1770,225,0.08818405000000001,0.0447052,0.0,-0.39918936
0.0,1770,226,0.090065,0.045060800000000005,0.0,-0.40016164
0.0,1770,227,0.09196,0.04541194999999999,0.0,-0.40109292
0.0,1770,228,0.0938688,0.04575865,0.0,-0.40191369
0.0,1770,229,0.09579114999999999,0.0461009,0.0,-0.40269444
0.0,1770,230,0.09772685,0.04643865,0.0,-0.40340475
0.0,1770,231,0.0996755,0.0467719,0.0,-0.4040182
